,is_canceled,lead_time,arrival_date_year,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,agent,days_in_waiting_list,adr,required_car_parking_spaces,total_of_special_requests
is_canceled,1,0.293,0.017,0.008,-0.006,-0.001,0.026,0.058,0.005,-0.033,-0.084,0.11,-0.057,-0.145,-0.047,0.054,0.046,-0.196,-0.235
lead_time,0.293,1,0.04,0.127,0.002,0.086,0.167,0.118,-0.038,-0.021,-0.123,0.086,-0.074,0.002,-0.013,0.17,-0.065,-0.117,-0.096
arrival_date_year,0.017,0.04,1,-0.54,0,0.022,0.031,0.03,0.055,-0.013,0.01,-0.12,0.029,0.031,0.056,-0.056,0.198,-0.014,0.109
arrival_date_week_number,0.008,0.127,-0.54,1,0.067,0.019,0.016,0.027,0.006,0.01,-0.031,0.035,-0.021,0.006,-0.018,0.023,0.076,0.002,0.026
arrival_date_day_of_month,-0.006,0.002,0,0.067,1,-0.016,-0.028,-0.002,0.015,0,-0.006,-0.027,0,0.011,0,0.023,0.03,0.009,0.003
stays_in_weekend_nights,-0.001,0.086,0.022,0.019,-0.016,1,0.494,0.095,0.046,0.019,-0.086,-0.013,-0.043,0.05,0.162,-0.054,0.051,-0.019,0.073
stays_in_week_nights,0.026,0.167,0.031,0.016,-0.028,0.494,1,0.096,0.045,0.02,-0.095,-0.014,-0.049,0.08,0.197,-0.002,0.067,-0.025,0.069
adults,0.058,0.118,0.03,0.027,-0.002,0.095,0.096,1,0.029,0.018,-0.141,-0.007,-0.109,-0.041,0.023,-0.008,0.224,0.014,0.123
children,0.005,-0.038,0.055,0.006,0.015,0.046,0.045,0.029,1,0.024,-0.032,-0.025,-0.021,0.051,0.05,-0.033,0.325,0.056,0.082
babies,-0.033,-0.021,-0.013,0.01,0,0.019,0.02,0.018,0.024,1,-0.009,-0.008,-0.007,0.086,0.03,-0.011,0.029,0.037,0.098
is_repeated_guest,-0.084,-0.123,0.01,-0.031,-0.006,-0.086,-0.095,-0.141,-0.032,-0.009,1,0.083,0.421,0.013,-0.052,-0.022,-0.131,0.078,0.013
previous_cancellations,0.11,0.086,-0.12,0.035,-0.027,-0.013,-0.014,-0.007,-0.025,-0.008,0.083,1,0.153,-0.027,-0.018,0.006,-0.066,-0.019,-0.048
previous_bookings_not_canceled,-0.057,-0.074,0.029,-0.021,0,-0.043,-0.049,-0.109,-0.021,-0.007,0.421,0.153,1,0.012,-0.046,-0.009,-0.072,0.048,0.038
booking_changes,-0.145,0.002,0.031,0.006,0.011,0.05,0.08,-0.041,0.051,0.086,0.013,-0.027,0.012,1,0.039,-0.012,0.027,0.067,0.055
agent,-0.047,-0.013,0.056,-0.018,0,0.162,0.197,0.023,0.05,0.03,-0.052,-0.018,-0.046,0.039,1,-0.041,0.016,0.119,0.061
days_in_waiting_list,0.054,0.17,-0.056,0.023,0.023,-0.054,-0.002,-0.008,-0.033,-0.011,-0.022,0.006,-0.009,-0.012,-0.041,1,-0.041,-0.031,-0.083
adr,0.046,-0.065,0.198,0.076,0.03,0.051,0.067,0.224,0.325,0.029,-0.131,-0.066,-0.072,0.027,0.016,-0.041,1,0.057,0.172
required_car_parking_spaces,-0.196,-0.117,-0.014,0.002,0.009,-0.019,-0.025,0.014,0.056,0.037,0.078,-0.019,0.048,0.067,0.119,-0.031,0.057,1,0.083
total_of_special_requests,-0.235,-0.096,0.109,0.026,0.003,0.073,0.069,0.123,0.082,0.098,0.013,-0.048,0.038,0.055,0.061,-0.083,0.172,0.083,1
